handle,kol_name,user_id,post_id,created_at,text,hashtags,urls,url
zerohedge,ZeroHedge,18856867,2057121476751364351,2026-05-20T15:29:14+00:00,taps the sign,[],[],https://x.com/zerohedge/status/2057121476751364351
zerohedge,ZeroHedge,18856867,2057121447080874297,2026-05-20T15:29:07+00:00,"The AI Economy, Part 1: Looking Beyond The Facade https://t.co/X2Cl2pOpNq",[],"[{""display_url"": ""zerohedge.com/markets/ai-eco…"", ""expanded_url"": ""https://www.zerohedge.com/markets/ai-economy-part-1-looking-beyond-facade"", ""indices"": [50, 73], ""url"": ""https://t.co/X2Cl2pOpNq""}]",https://x.com/zerohedge/status/2057121447080874297
zerohedge,ZeroHedge,18856867,2057121293871337518,2026-05-20T15:28:30+00:00,Maybe not this time: entire gap almost fully reversed,[],[],https://x.com/zerohedge/status/2057121293871337518
zerohedge,ZeroHedge,18856867,2057119936552517772,2026-05-20T15:23:06+00:00,"Crude Extends Decline As Trump Says In 'Final Stages' Of Talks With Iran, After Pakistan Hints Agreement Close https://t.co/9OKnmffd8X",[],"[{""display_url"": ""zerohedge.com/geopolitical/i…"", ""expanded_url"": ""https://www.zerohedge.com/geopolitical/iran-warns-will-take-war-beyond-region-if-trump-restarts-attacks"", ""indices"": [111, 134], ""url"": ""https://t.co/9OKnmffd8X""}]",https://x.com/zerohedge/status/2057119936552517772
zerohedge,ZeroHedge,18856867,2057119838179369297,2026-05-20T15:22:43+00:00,"RT @JavierBlas: Say whatever you want about US President Donald Trump, but admit he's really good at jawboning the oil market. Bigly good a…",[],[],https://x.com/zerohedge/status/2057119838179369297
zerohedge,ZeroHedge,18856867,2057119444187398541,2026-05-20T15:21:09+00:00,"here we go again

*TRUMP SAYS US IN 'FINAL STAGES' OF TALKS WITH IRAN: POOL REPORT

*US 10-YEAR YIELD FALLS 10 BASIS POINTS ON DAY TO 4.56%",[],[],https://x.com/zerohedge/status/2057119444187398541
zerohedge,ZeroHedge,18856867,2057115413993984003,2026-05-20T15:05:08+00:00,Goldman Chief Equity Strategist Warns Momentum Risks Yielding To Bonds https://t.co/fg5uyFQ6kc,[],"[{""display_url"": ""zerohedge.com/markets/goldma…"", ""expanded_url"": ""https://www.zerohedge.com/markets/goldman-chief-equity-strategist-warns-momentum-risks-yielding-bonds"", ""indices"": [71, 94], ""url"": ""https://t.co/fg5uyFQ6kc""}]",https://x.com/zerohedge/status/2057115413993984003
zerohedge,ZeroHedge,18856867,2057114696994496817,2026-05-20T15:02:17+00:00,*US IMPORTS OF VENEZUELAN CRUDE RISE TO HIGHEST SINCE 2018,[],[],https://x.com/zerohedge/status/2057114696994496817
zerohedge,ZeroHedge,18856867,2057111607126249677,2026-05-20T14:50:01+00:00,the US exported 5.6 million barrels last week: the 2nd highest ever https://t.co/LZB3IEYgz2,[],[],https://x.com/zerohedge/status/2057111607126249677
zerohedge,ZeroHedge,18856867,2057110650069848392,2026-05-20T14:46:12+00:00,Judge Blocks ICE Agents From Conducting Arrests At Immigration Courts In New York https://t.co/VAEbc2PMsr,[],"[{""display_url"": ""zerohedge.com/markets/judge-…"", ""expanded_url"": ""https://www.zerohedge.com/markets/judge-blocks-ice-agents-conducting-arrests-immigration-courts-new-york"", ""indices"": [82, 105], ""url"": ""https://t.co/VAEbc2PMsr""}]",https://x.com/zerohedge/status/2057110650069848392
